Unnamed: 0,Date,UKPOUND_BID_SPOT,UKPOUND_ASK_SPOT
5233,2003-10-31,0.589483612,0.589692181
5276,2003-12-31,0.561797753,0.561987187
5341,2004-03-31,0.543448726,0.543625985
5363,2004-04-30,0.563666084,0.56385678
5384,2004-05-31,0.546268983,0.546448087
5406,2004-06-30,0.551237528,0.551419906
5450,2004-08-31,0.556359185,0.556544969
5472,2004-09-30,0.5516937,0.55187638
5515,2004-11-30,0.524273881,0.52443885
5538,2004-12-31,0.52208416,0.522247754
5559,2005-01-31,0.53157559,0.531745188
5579,2005-02-28,0.519777535,0.519939687
5602,2005-03-31,0.529324582,0.529492746
5645,2005-05-31,0.548335801,0.548516264
5667,2005-06-30,0.557786702,0.55797344
5711,2005-08-31,0.55401662,0.554200842
5733,2005-09-30,0.56557887,0.565770863
5754,2005-10-31,0.565259171,0.565450947
5776,2005-11-30,0.576900888,0.577100646
5820,2006-01-31,0.560098577,0.560286867
5840,2006-02-28,0.570125428,0.57032052
5863,2006-03-31,0.575175429,0.575373993
5906,2006-05-31,0.53361793,0.533788833
5928,2006-06-30,0.541154824,0.541330591
5949,2006-07-31,0.535160013,0.535331906
5972,2006-08-31,0.525458463,0.525624179
6015,2006-10-31,0.523916802,0.524026621
6037,2006-11-30,0.508001016,0.508104263
6081,2007-01-31,0.509761941,0.509865905
6101,2007-02-28,0.509865905,0.509969912
6144,2007-04-30,0.499950005,0.500050005
6167,2007-05-31,0.505127039,0.505229121
6210,2007-07-31,0.491400491,0.4914971
6233,2007-08-31,0.495564696,0.495662949
6276,2007-10-31,0.481069899,0.481162489
6298,2007-11-30,0.486286715,0.486381323
6319,2007-12-31,0.504210155,0.504311866
6342,2008-01-31,0.502512563,0.502613591
6363,2008-02-29,0.50347397,0.503575385
6384,2008-03-31,0.503905266,0.504006854
6406,2008-04-30,0.504133898,0.504235579
6449,2008-06-30,0.502361097,0.502462064
6472,2008-07-31,0.504617248,0.504719124
6515,2008-09-30,0.560098577,0.56022409
6538,2008-10-31,0.615384615,0.615536132
6581,2008-12-31,0.68310677,0.683293475
6645,2009-03-31,0.698714366,0.698909701
6667,2009-04-30,0.674399784,0.674581759
6710,2009-06-30,0.607164542,0.607312037
6733,2009-07-31,0.597978832,0.598121897
6754,2009-08-31,0.613045611,0.613195977
6776,2009-09-30,0.623908161,0.624063904
6819,2009-11-30,0.609124688,0.609273137
6842,2009-12-31,0.618658748,0.618811881
6906,2010-03-31,0.658111221,0.658284511
6928,2010-04-30,0.654321795,0.654493095
6949,2010-05-31,0.690417012,0.690607735
6971,2010-06-30,0.668493883,0.668672685
7015,2010-08-31,0.651890482,0.652060511
7037,2010-09-30,0.636496722,0.636658815
7080,2010-11-30,0.642219511,0.642384531
7103,2010-12-31,0.64008193,0.640245854
7124,2011-01-31,0.623402531,0.623558022
7144,2011-02-28,0.615081806,0.615233173
7167,2011-03-31,0.622393726,0.622548714
7210,2011-05-31,0.608531613,0.608679774
7232,2011-06-30,0.621542669,0.621697233
7276,2011-08-31,0.614363826,0.614514841
7298,2011-09-30,0.639549757,0.639713408
7319,2011-10-31,0.619962802,0.620116582
7341,2011-11-30,0.636334712,0.636496722
7385,2012-01-31,0.634517766,0.634678853
7406,2012-02-29,0.626644943,0.626802056
7449,2012-04-30,0.616104984,0.616256856
7472,2012-05-31,0.648424329,0.648592554
7515,2012-07-31,0.638121371,0.638284292
7538,2012-08-31,0.630199143,0.630358043
7581,2012-10-31,0.619847518,0.62000124
7603,2012-11-30,0.623908161,0.624063904
7624,2012-12-31,0.614703713,0.614854894
7647,2013-01-31,0.630238861,0.630397781
7667,2013-02-28,0.658457892,0.658631364
7710,2013-04-30,0.643459237,0.643624895
7733,2013-05-31,0.658718135,0.658891744
7776,2013-07-31,0.658457892,0.658631364
7819,2013-09-30,0.617703379,0.61785604
7842,2013-10-31,0.62289772,0.62305296
7885,2013-12-31,0.603573153,0.603718908
7908,2014-01-31,0.607828835,0.607976654
7928,2014-02-28,0.596587519,0.59672992
7949,2014-03-31,0.599592277,0.599736116
7971,2014-04-30,0.592452159,0.592592593
8014,2014-06-30,0.584624379,0.584761125
8037,2014-07-31,0.592206562,0.592346878
8080,2014-09-30,0.616788996,0.616941206
8103,2014-10-31,0.625,0.625156289
8146,2014-12-31,0.641560275,0.641724957
8210,2015-03-31,0.67335533,0.673536741
8232,2015-04-30,0.651678071,0.651847989
8275,2015-06-30,0.636213259,0.636375207
8298,2015-07-31,0.639549757,0.639713408
8319,2015-08-31,0.650533437,0.650702759
8341,2015-09-30,0.661069611,0.661244462
8384,2015-11-30,0.664584303,0.664761018
8407,2015-12-31,0.677966102,0.678150007
