Product_Name,Sub_Fund_Name,Issuer,Auth_Date,Doc,Deriv_Fund,Product_ID,Sub_Fund_ID,doc_url
Harvest Funds (Hong Kong) (AVM265),Harvest HKD Money Market Fund (BOM656),Harvest Global Investments Limited,11/10/2019,Offering Documents,No,AVM265,BOM656,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOM656&docType=OD
Invesco Trust Series (BFA964),Invesco Asian Bond Fixed Maturity Fund 2022 (BOT402),Invesco Hong Kong Limited (trading as Invesco Asia Pacific),11/10/2019,Offering Documents,No,BFA964,BOT402,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOT402&docType=OD
BOCIP Asset Management Investment Funds (ATR244),BOCIP Flexi USD Bond Fund (BOS956),BOCI-Prudential Asset Management Limited,10/10/2019,Offering Documents,No,ATR244,BOS956,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOS956&docType=OD
UBS (Lux) Equity SICAV (AQQ447),UBS (Lux) Equity SICAV - All China (USD) (BOP568),UBS Fund Management (Luxembourg) S.A.,17/9/2019,Offering Documents,No,AQQ447,BOP568,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOP568&docType=OD
Barings Umbrella Fund plc (BNC267),Barings Emerging Markets Sovereign Debt Fund (BOK322),Baring International Fund Managers (Ireland) Limited,13/9/2019,Offering Documents,No,BNC267,BOK322,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOK322&docType=OD
HSBC Global Investment Funds (AAU032),HSBC Global Investment Funds - US High Yield Bond (BOH292),HSBC Investment Funds (Luxembourg) S.A.,27/8/2019,Offering Documents,No,AAU032,BOH292,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOH292&docType=OD
AB SICAV I (ANP585),Low Volatility Total Return Equity Portfolio (BOH946),AllianceBernstein (Luxembourg) S.a.r.l.,26/8/2019,Offering Documents,No,ANP585,BOH946,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOH946&docType=OD
AB SICAV I (ANP585),RMB Income Plus Portfolio (BOH947),AllianceBernstein (Luxembourg) S.a.r.l.,26/8/2019,Offering Documents,No,ANP585,BOH947,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOH947&docType=OD
Invesco Trust Series (BFA964),Invesco Global Bond Fixed Maturity Fund 2022 - II (BOR188),Invesco Hong Kong Limited (trading as Invesco Asia Pacific),16/8/2019,Offering Documents,No,BFA964,BOR188,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOR188&docType=OD
Fidelity Advantage Portfolio Fund (ACO449),Fidelity Advantage Portfolio Fund - World Equity Index Fund (BOH904),FIL Investment Management (Hong Kong) Limited,8/8/2019,Offering Documents,No,ACO449,BOH904,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOH904&docType=OD
Fidelity Advantage Portfolio Fund (ACO449),Fidelity Advantage Portfolio Fund - World Government Bond Index Fund (BOH905),FIL Investment Management (Hong Kong) Limited,8/8/2019,Offering Documents,No,ACO449,BOH905,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOH905&docType=OD
BlackRock Premier Funds (BAV201),China US Dollar Bond Fund (BOK628),BlackRock Asset Management North Asia Limited,25/7/2019,Offering Documents,No,BAV201,BOK628,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOK628&docType=OD
Matthews Asia Funds (AXK085),Matthews Asia Funds - Asia ex Japan Dividend Fund (BOG861),Carne Global Fund Managers (Luxembourg) S.A.,17/7/2019,Offering Documents,No,AXK085,BOG861,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOG861&docType=OD
Matthews Asia Funds (AXK085),Matthews Asia Funds - Japan Fund (BOG862),Carne Global Fund Managers (Luxembourg) S.A.,17/7/2019,Offering Documents,No,AXK085,BOG862,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOG862&docType=OD
Legg Mason Global Funds Plc (ANO878),Legg Mason Brandywine Global Opportunistic Fixed Income Fund (BOA236),Franklin Templeton International Services S.a.r.l.,10/7/2019,Offering Documents,No,ANO878,BOA236,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOA236&docType=OD
CISI Selection Fund Series (BOG455),,China Industrial Securities International Asset Management Limited,24/6/2019,Offering Documents,,BOG455,,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=nan&docType=OD
CISI Selection Fund Series (BOG455),China Core Asset Fund (BOG456),China Industrial Securities International Asset Management Limited,24/6/2019,Offering Documents,No,BOG455,BOG456,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOG456&docType=OD
Invesco Trust Series (BFA964),Invesco Global Bond Fixed Maturity Fund 2022 (BOH231),Invesco Hong Kong Limited (trading as Invesco Asia Pacific),24/6/2019,Offering Documents,No,BFA964,BOH231,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOH231&docType=OD
Fullgoal International Funds SICAV (BNY661),,LEMANIK ASSET MANAGEMENT S.A.,21/6/2019,Offering Documents,,BNY661,,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=nan&docType=OD
Fullgoal International Funds SICAV (BNY661),Fullgoal China Small-Mid Cap Growth Fund (BNY686),LEMANIK ASSET MANAGEMENT S.A.,21/6/2019,Offering Documents,No,BNY661,BNY686,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BNY686&docType=OD
Capital International Fund (BGX053),Capital Group World Growth and Income (LUX) (BOH235),Capital International Management Company,14/6/2019,Offering Documents,No,BGX053,BOH235,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOH235&docType=OD
CICC Fund Series (BNL441),ICBC CICC USD Money Market ETF (BOG055)#,China International Capital Corporation Hong Kong Asset Management Limited,12/6/2019,Offering Documents,No,BNL441,BOG055)#,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOG055)#&docType=OD
HSBC Global Funds ICAV (BNY711),,HSBC Investment Funds (Luxembourg) S.A.,6/6/2019,Offering Documents,,BNY711,,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=nan&docType=OD
HSBC Global Funds ICAV (BNY711),HSBC Global Funds ICAV - Global Aggregate Bond Index Fund (BNY712),HSBC Investment Funds (Luxembourg) S.A.,6/6/2019,Offering Documents,No,BNY711,BNY712,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BNY712&docType=OD
HSBC Global Funds ICAV (BNY711),HSBC Global Funds ICAV - Global Corporate Bond Index Fund (BNY714),HSBC Investment Funds (Luxembourg) S.A.,6/6/2019,Offering Documents,No,BNY711,BNY714,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BNY714&docType=OD
